,Date,Username,Tweet,label
0,2023-04-04 02:42:03+00:00,membangunnegri1,"Jelas kan, bukan salahnya Pak Ganjar.

Iqbal Amanda guru penjas Salma Peru Novia sehun Banjarnegara Dilan Moeldoko Kasad Dudung AR
#Ganjar #ganjarpranowo #GanjarHebat #AgustD_SUGA_Tour_in_bangkok #PesanUntukBerbagi #oriele #TimnasU20 #PialaDunia #PSSI #Dogecoin #FIFA #CSKvsLSG https://t.co/efEBP1oRIv",0
1,2023-04-04 02:41:33+00:00,PemukaRakyatcom,"Profil dan Biodata Lengkap Ratu Tisha Sekjen @PSSI: Umur, Asal, Pendidikan, Hingga Perjalanan Karir

#PSSI
#football https://t.co/jqDHSEfJ3G",0
2,2023-04-04 02:36:00+00:00,bolaskorcom,"Presiden Jokowi melontarkan curahan hatinya pasca pembatalan Indonesia sebagai tuan rumah Piala Dunia U-20 2023. 

#bolaskorcom #jokowi #pssi #pialadunia  

https://t.co/tFcB6U6azT",0
3,2023-04-04 02:02:37+00:00,SeputariNews,"Menteri BUMN yang juga Ketua Umum PSSI, Erick Thohir dinilai sebagai sosok paling melejit dalam bursa calon wakil presiden di Pemilihan Presiden (Pilpres) 2024 mendatang. MYF

Selengkapnya: https://t.co/iw3LQqc3tj

#SeputariNewsRCTI #ErickThohir #BUMN #PSSI https://t.co/tj1pqHqDQr",0
4,2023-04-04 01:44:36+00:00,huzein_sany,"FIFA siapa sj org2 d dlam y, sdah jlaskan bahwa FIFA lbih memihak kpd prnjajah dn org2 Barat.. 🤷‍♂️🤷‍♂️
#Palestina  #TolakU20Israel #TolakTimnasIsrael #Indonesia #Menpora #Menlu #PSSI #PialaDuniaU20 #Ahlulbayt  #AhlulbaitIndonesia #AlQuds #AlqudsInternasional #YaumulQuds #YaumAlQuds",0
5,2023-04-03 22:53:22+00:00,rendytriawan88,Terima kasih telah berjuang walaupun tidak jadi berlaga timnas U 20 #erickthohir #timnasU20 #pialaduniaU20 #ketuapssi #pssi #jokowi #erickthohiridolague #erickthohirwapres https://t.co/J1ZZ9vpB28,0
6,2023-04-03 22:33:51+00:00,tegarwadesta,Erick Thohir lakukan pembubaran tim LOC Panitia Piala Dunia U20 #erickthohir #timnasU20 #pembubaranpanitia #pssi #ketuapssi #erickthohiridolague #bumnuntukindonesia #erickthohirsolusirakyat https://t.co/Prp4AEKGgS,0
7,2023-04-03 22:17:26+00:00,huzein_sany,"Segala bentuk penjajahan d ats bumi hrus d hpuskan, ... 
#Palestina #Palestinel #TolakU20Israel #TolakTimnasIsrael #Indonesia #Menpora #Menlu #PSSI #PialaDuniaU20 #Ahlulbayt #Ahlulbait #AhlulbaitIndonesia #AlQuds #AlqudsInternasional #YaumulQuds #YaumAlQuds #Ahlulbayt",0
8,2023-04-03 22:14:55+00:00,pandusapurta6,"Erick thohir lakukan pembubaran tim loc panitia Piala Dunia U-20
#timu20 
#u20 
#pssi 
#fifa 
#sepakbolaindonesia 
#sepakboladunia 
#guebersamaerickthohir https://t.co/s6q5cyR74U",0
9,2023-04-03 22:14:33+00:00,Beritabaruco,"Argentina Lawan Negara di Asia Tenggara, Timnas Indonesia Masuk Kandidat Terkuatnya https://t.co/K71VEMVFbY #Argentina #FIFAMatchday #PSSI #TimnasIndonesia https://t.co/CjKkhtu4hS",0
